Crop,ph_min,n_min,p_min,k_min,oc_min,foliar,zn_min
Maize,5.5,1.2,20,150,15.0,0,1.0
Beans,6.0,1.0,15,120,12.0,0,1.0
Potatoes,5.2,1.5,25,250,18.0,1,1.5
Tomatoes,6.0,1.5,25,250,18.0,1,1.5
Kale (Sukuma),5.5,1.5,15,150,15.0,1,1.0
Wheat,6.0,1.3,18,160,14.0,0,1.0
Sorghum,5.5,1.0,12,130,12.0,0,1.0
Avocado,5.5,1.5,20,300,20.0,1,1.5
Tea,4.5,2.0,15,200,25.0,0,1.0
Finger Millet,5.0,0.8,10,100,10.0,0,1.0
Cassava,5.0,0.8,10,120,10.0,0,1.0
Sweet Potato,5.0,1.0,15,200,12.0,0,1.0
Groundnuts,5.5,1.0,15,150,12.0,0,1.0
Cowpeas,5.0,0.8,10,100,10.0,0,1.0
Sunflower,6.0,1.2,20,180,15.0,0,1.0
Coffee (Arabica),5.0,1.5,20,200,20.0,1,1.5
Macadamia,5.0,1.0,15,150,15.0,1,1.0
Mangoes,5.5,1.0,15,150,15.0,1,1.0
Onions,6.0,1.5,25,200,15.0,1,1.0
Cabbage,6.0,2.0,25,250,15.0,1,1.5
Cotton,5.8,1.2,20,180,15.0,0,1.0
Pigeon Peas,5.0,0.8,10,100,10.0,0,1.0
Rice (Upland),5.0,1.5,20,180,15.0,0,1.0
Sisal,5.5,0.5,10,100,10.0,0,1.0
Pyrethrum,5.5,1.2,25,150,15.0,0,1.0

Barley,5.5,1.2,20,150,15.0,0,1.0
Chillies,6.0,1.2,20,200,15.0,1,1.5
Watermelon,5.8,1.0,18,250,14.0,1,1.0
Capsicum,6.0,1.5,25,250,15.0,1,1.5
Macadamia,5.0,1.0,15,150,15.0,1,1.0
Banana,5.5,1.5,20,400,20.0,1,1.5
