County,SubCounty,Latitude,Longitude
Bungoma,Kimilili,0.7811,34.7175
Bungoma,Webuye West,0.6083,34.7667
Bungoma,Webuye East,0.5917,34.8417
Bungoma,Kanduyi,0.5635,34.5606
Bungoma,Bumula,0.5097,34.4397
Bungoma,Sirisia,0.6931,34.4697
Bungoma,Tongaren,0.7553,34.8697
Bungoma,Mt. Elgon,0.8583,34.6167
Elgeyo Marakwet,Keiyo South,0.2458,35.5397
Elgeyo Marakwet,Keiyo North,0.6711,35.5081
Elgeyo Marakwet,Marakwet West,0.8011,35.5397
Elgeyo Marakwet,Marakwet East,1.1511,35.7597
Nakuru,Naivasha,-0.7172,36.4310
Nakuru,Gilgil,-0.4833,36.3167
Nakuru,Molo,-0.2500,35.7333
Uasin Gishu,Kapsaret,0.4011,35.2097
Uasin Gishu,Moiben,0.7511,35.3597
Kakamega,Mumias West,0.3311,34.4897
Kakamega,Mumias East,0.3411,34.5597
Kakamega,Lurambi,0.2833,34.7500
